id,name,category,district,area,default,flag,hash,detection,note
1310000,GridLeak - Downtown 001,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb0105D89E-0A02-43C3-8AD3-04A34562CA18,0xE8AD39E8,record present with value >= 1 (any ProgressionManagerData section),
1310001,GridLeak - Downtown 002,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb03614385-9121-41E1-92EF-943F437F71BC,0x0929078B,record present with value >= 1 (any ProgressionManagerData section),
1310002,GridLeak - Downtown 003,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb07423922-F2B8-43C5-A200-1CA993459816,0x871FB3FE,record present with value >= 1 (any ProgressionManagerData section),
1310003,GridLeak - Downtown 004,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb08B5FD77-1DE1-490B-94E6-E199EC464F5C,0x01B7D717,record present with value >= 1 (any ProgressionManagerData section),
1310004,GridLeak - Downtown 005,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb09A789A4-2C8D-4149-8052-1D5E2150CF16,0xA420661E,record present with value >= 1 (any ProgressionManagerData section),
1310005,GridLeak - Downtown 006,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb144A6A2C-D955-4045-94E8-8F545165D96A,0xD3088532,record present with value >= 1 (any ProgressionManagerData section),
1310006,GridLeak - Downtown 007,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb1916C5C9-8C10-48C2-9C49-0F0D897A77A4,0xEF45F84D,record present with value >= 1 (any ProgressionManagerData section),
1310007,GridLeak - Downtown 008,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb1A026115-CC89-4F35-85AB-17E050D8A42E,0xBC9D60DC,record present with value >= 1 (any ProgressionManagerData section),
1310008,GridLeak - Downtown 009,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb1BF96C51-7027-4EEB-873C-7D78C611523D,0xCC93B291,record present with value >= 1 (any ProgressionManagerData section),
1310009,GridLeak - Downtown 010,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb205D634D-AD45-4373-9FB9-15439BA461C2,0x899AE0A0,record present with value >= 1 (any ProgressionManagerData section),
1310010,GridLeak - Downtown 011,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb2119B64D-05C8-4BA5-93A3-2A1077A3BA0B,0x2E235EA4,record present with value >= 1 (any ProgressionManagerData section),
1310011,GridLeak - Downtown 012,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb2167A0F0-819A-4E0F-82B1-69FA0E6A1431,0x3C41DB19,record present with value >= 1 (any ProgressionManagerData section),
1310012,GridLeak - Downtown 013,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb22799E18-1760-4C9E-8D5A-2FDD78EAC75C,0x8603091B,record present with value >= 1 (any ProgressionManagerData section),
1310013,GridLeak - Downtown 014,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb26E5B33F-F10F-4088-81CC-34969F578D1F,0x89A80FDC,record present with value >= 1 (any ProgressionManagerData section),
1310014,GridLeak - Downtown 015,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb29FB7E5C-3257-4383-9368-345B2EBC9ECB,0x57EFD5E5,record present with value >= 1 (any ProgressionManagerData section),
1310015,GridLeak - Downtown 016,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb2D5BEB3F-2006-40C2-957D-C4D042B6C5D6,0xF38029F6,record present with value >= 1 (any ProgressionManagerData section),
1310016,GridLeak - Downtown 017,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb320736F8-349D-4429-BFBD-18D082E0EC9F,0x9AF26CEB,record present with value >= 1 (any ProgressionManagerData section),
1310017,GridLeak - Downtown 018,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb35AB0F4E-F55A-44B3-B9D3-54333F51BF12,0xFF6EE371,record present with value >= 1 (any ProgressionManagerData section),
1310018,GridLeak - Downtown 019,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb36B04D72-D78D-455D-9922-35FC1D97DEA3,0x88F85DC8,record present with value >= 1 (any ProgressionManagerData section),
1310019,GridLeak - Downtown 020,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb383EF14A-0D6E-4D38-B2B1-73AD931E724B,0xC061C412,record present with value >= 1 (any ProgressionManagerData section),
1310020,GridLeak - Downtown 021,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb38424169-6CCD-4F5F-80DC-57EEA740CD3F,0x259F09C7,record present with value >= 1 (any ProgressionManagerData section),
1310021,GridLeak - Downtown 022,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb38B1E4DB-FF86-4BAC-B11D-1D793001C53B,0x47E631F3,record present with value >= 1 (any ProgressionManagerData section),
1310022,GridLeak - Downtown 023,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb3A70E94B-763A-4C79-8A29-EFABF9BAA4DA,0xE758E0D5,record present with value >= 1 (any ProgressionManagerData section),
1310023,GridLeak - Downtown 024,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb4214996F-6BD1-4B59-A1E4-BF421D93FC6E,0x073CB2BC,record present with value >= 1 (any ProgressionManagerData section),
1310024,GridLeak - Downtown 025,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb43E4CADD-3404-4815-8BA2-3AE2B517608A,0x24D32AA3,record present with value >= 1 (any ProgressionManagerData section),
1310025,GridLeak - Downtown 026,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb44316216-0E3D-46FB-A2D2-5A5364502FF5,0xCBE1FEAC,record present with value >= 1 (any ProgressionManagerData section),
1310026,GridLeak - Downtown 027,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb454EBB85-F6F3-4BE8-B716-EFC5CEA2E18A,0x5E305FD2,record present with value >= 1 (any ProgressionManagerData section),
1310027,GridLeak - Downtown 028,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb470B4CA3-9FAF-4EDA-848B-7AB40DBD818E,0x4087DD16,record present with value >= 1 (any ProgressionManagerData section),
1310028,GridLeak - Downtown 029,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb488BFA04-E80A-4D9A-A2DC-ACC0E927F31B,0xC8C9DCF5,record present with value >= 1 (any ProgressionManagerData section),
1310029,GridLeak - Downtown 030,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb4B24A10B-DAD2-4855-90E4-A48E8A98B4D5,0xA6F004FC,record present with value >= 1 (any ProgressionManagerData section),
1310030,GridLeak - Downtown 031,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb4CFC147C-0C61-4567-B69B-528E8864A73A,0x370366FA,record present with value >= 1 (any ProgressionManagerData section),
1310031,GridLeak - Downtown 032,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb4DE9FEEE-1124-43E8-88AD-DB5252F2D9DA,0x144D80A2,record present with value >= 1 (any ProgressionManagerData section),
1310032,GridLeak - Downtown 033,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb4E3B0B66-46C7-4B52-A6F3-F2EC7FEFC504,0x82C9205B,record present with value >= 1 (any ProgressionManagerData section),
1310033,GridLeak - Downtown 034,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb515861B6-E3C8-40F8-B51C-11B765D50227,0xFE1E2796,record present with value >= 1 (any ProgressionManagerData section),
1310034,GridLeak - Downtown 035,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb55B43AAB-3C7D-4363-91C3-9248B776C8EB,0xE19F382F,record present with value >= 1 (any ProgressionManagerData section),
1310035,GridLeak - Downtown 036,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb56D5AC7C-5E6C-4A64-8FB0-F802F2D84D72,0xA1E34EA5,record present with value >= 1 (any ProgressionManagerData section),
1310036,GridLeak - Downtown 037,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb6392A184-C66D-43E0-9660-6FB501F80737,0x7442E8EB,record present with value >= 1 (any ProgressionManagerData section),
1310037,GridLeak - Downtown 038,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb65867B14-EB59-4B25-8E1F-556DE0BB9F1C,0x6A1FADD9,record present with value >= 1 (any ProgressionManagerData section),
1310038,GridLeak - Downtown 039,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb680EBB26-4CBF-4847-BBBD-C8811232AF94,0x0723BDE1,record present with value >= 1 (any ProgressionManagerData section),
1310039,GridLeak - Downtown 040,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb6FC60A9C-BA34-4F5C-933D-0C9A8FDB9E4B,0x00401C34,record present with value >= 1 (any ProgressionManagerData section),
1310040,GridLeak - Downtown 041,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb70B8383E-A36F-448D-A383-76B48CC57E14,0xFB98D254,record present with value >= 1 (any ProgressionManagerData section),
1310041,GridLeak - Downtown 042,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb741A56ED-FCB2-440D-A7CB-DFF0343A81B0,0x9811A423,record present with value >= 1 (any ProgressionManagerData section),
1310042,GridLeak - Downtown 043,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb78CDD4B2-70EE-420F-B490-85C39A45C1A5,0x50CFAAFC,record present with value >= 1 (any ProgressionManagerData section),
1310043,GridLeak - Downtown 044,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb7ACDEBC5-0726-4DE8-8999-1195A9F1A1D4,0xC9D40752,record present with value >= 1 (any ProgressionManagerData section),
1310044,GridLeak - Downtown 045,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb7B613E30-1DD7-4352-81D5-ACD581C0313A,0x67DBCF3E,record present with value >= 1 (any ProgressionManagerData section),
1310045,GridLeak - Downtown 046,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb7BFD135C-D68E-4C2E-B5FF-118FD7D8DB4D,0xB9D47A62,record present with value >= 1 (any ProgressionManagerData section),
1310046,GridLeak - Downtown 047,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb833E94E5-C0F6-42CC-A16A-AFF5EC9726A3,0x8E7B3156,record present with value >= 1 (any ProgressionManagerData section),
1310047,GridLeak - Downtown 048,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb88801204-B581-4BA4-9FC3-4F7AF8F3E9F1,0xCD703C47,record present with value >= 1 (any ProgressionManagerData section),
1310048,GridLeak - Downtown 049,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb8B4F3ECA-2ED4-4585-9C80-42EC9F290270,0xC5572C0A,record present with value >= 1 (any ProgressionManagerData section),
1310049,GridLeak - Downtown 050,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb910D838C-7E1C-414B-BAC6-7436AA852550,0xC6215ADE,record present with value >= 1 (any ProgressionManagerData section),
1310050,GridLeak - Downtown 051,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb9132BC10-5362-4D5C-9AD6-EB94D98AA504,0xAEBA3587,record present with value >= 1 (any ProgressionManagerData section),
1310051,GridLeak - Downtown 052,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb9167C3DA-D4CA-4D77-A703-81A5CE3CD687,0x300D9703,record present with value >= 1 (any ProgressionManagerData section),
1310052,GridLeak - Downtown 053,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb91E2B310-DFDE-47B3-A1EF-831E136FCC5C,0x0334C688,record present with value >= 1 (any ProgressionManagerData section),
1310053,GridLeak - Downtown 054,GridLeak,Downtown,,True,DowntownGridLeaks_DowntownCompulsionOrb91F4DB87-B462-4D06-B82A-F8D5793D2A19,0x7A9A060D,record present with value >= 1 (any ProgressionManagerData section),
